Designator,Mid X,Mid Y,Rotation,Layer
25MHz1,97.0,-48.0,0.0,top
3v3Reg1,148.95,-53.5884,270.0,top
5VReg1,147.93,-73.25,90.0,top
BMI088,118.4,-28.1,0.0,top
BMP390,109.3,-65.8,270.0,top
BOOT0,164.5,-52.6125,270.0,top
BT1,145.8,-42.4,0.0,bottom
BZ1,148.3,-170.3,0.0,top
C1,106.2,-62.8,0.0,top
C10,144.45,-65.0,180.0,top
C11,144.4,-59.0234,180.0,top
C12,154.0,-74.5,0.0,top
C13,148.25,-77.1,180.0,top
C14,138.5,-83.0,90.0,top
C15,135.3,-35.775,90.0,bottom
C16,138.625,-31.7,180.0,bottom
C17,138.625,-29.9,180.0,bottom
C18,132.625,-29.0,0.0,bottom
C19,140.0,-69.0,0.0,top
C2,112.3,-65.9,270.0,top
C20,96.05,-52.0,0.0,top
C21,97.0,-44.0,0.0,top
C22,126.0,-172.775,270.0,top
C23,154.855,-135.0,180.0,top
C24,154.405,-116.0,0.0,top
C25,155.155,-152.25,0.0,top
C26,156.0,-165.75,0.0,top
C27,144.45,-62.03,180.0,top
C28,148.95,-83.0,180.0,top
C29,97.05,-34.0,0.0,top
C3,120.85,-31.2,0.0,top
C30,125.6,-63.4,270.0,top
C31,148.9,-80.065,180.0,top
C32,148.6,-28.8,270.0,top
C33,103.5,-39.75,180.0,top
C34,133.0,-46.3,0.0,top
C35,133.155,-39.75,0.0,top
C36,133.0,-50.25,0.0,top
C37,107.7,-31.9,90.0,top
C38,119.75,-33.0,90.0,top
C39,132.905,-53.25,0.0,top
C4,123.1,-27.65,270.0,top
C40,133.0,-56.75,0.0,top
C41,108.4,-31.92,90.0,top
C42,127.25,-62.0,270.0,top
C43,120.75,-62.0,270.0,top
C44,117.75,-62.0,270.0,top
C45,103.405,-42.75,180.0,top
C46,103.92,-58.25,180.0,top
C47,145.68,-67.0,180.0,top
C48,129.5,-28.1,90.0,top
C49,103.5,-48.75,180.0,top
C5,152.0,-48.0,90.0,top
C50,109.9,-31.55,90.0,top
C51,139.355,-64.4468,90.0,top
C52,137.855,-59.6018,270.0,top
C6,149.95,-48.0,90.0,top
C7,148.05,-59.0234,180.0,top
C8,147.95,-65.03,180.0,top
C9,147.95,-62.0,180.0,top
CR1,143.0,-78.5,180.0,top
D1,157.3125,-58.75,180.0,top
D10,149.2125,-110.0,0.0,top
D11,149.2125,-112.59,0.0,top
D12,138.0,-154.5,0.0,top
D13,138.0,-157.09,0.0,top
D14,138.0,-162.0,0.0,top
D15,138.0,-164.59,0.0,top
D16,142.0,-54.9375,90.0,top
D17,144.0,-54.9375,90.0,top
D2,155.3,-77.7,180.0,top
D3,153.95,-54.0,270.0,top
D4,156.8,-49.2,0.0,top
D5,157.6,-54.0,270.0,top
D6,140.0,-54.9375,90.0,top
D7,138.0,-55.0,90.0,top
D8,150.2125,-131.0,0.0,top
D9,150.2125,-133.0,0.0,top
FB1,150.2,-26.0,90.0,top
FB2,140.4,-59.4,270.0,top
IC2,118.5,-47.5,0.0,top
J1,162.1,-87.52,90.0,top
J10,114.59,-86.88,0.0,bottom
J11,162.25,-169.31,90.0,top
J12,162.2,-152.92,90.0,top
J13,162.15,-120.31,90.0,top
J14,162.2,-136.62,90.0,top
J2,164.155,-42.495,90.0,top
J3,162.1,-67.0,270.0,top
J5,92.69,-170.0,90.0,top
J6,155.2,-22.55,0.0,top
J7,104.55,-86.88,0.0,bottom
J9,162.1,-103.92,90.0,top
L1,152.95,-63.5,270.0,top
L2,143.5,-84.2,0.0,top
M1,98.0,-110.7,270.0,top
M2,98.0,-115.35,270.0,top
M3,98.0,-120.0,270.0,top
M4,98.0,-124.65,270.0,top
M5,98.0,-129.3,270.0,top
MAX-M10S1,140.0,-28.0,0.0,top
NRST1,102.5,-27.1125,270.0,top
Q11,102.4,-138.5,0.0,top
Q12,119.5,-139.0,0.0,top
Q13,119.3,-122.27,0.0,top
Q14,130.2,-101.4,0.0,top
Q15,137.8,-101.4,0.0,top
Q16,145.5532,-101.4,0.0,top
Q18,102.45,-153.42,0.0,top
Q19,119.5,-111.05,0.0,top
Q20,119.5,-116.7,0.0,top
Q21,153.3064,-101.4,0.0,top
Q22,130.2468,-123.0,0.0,top
Q23,138.0,-123.0,0.0,top
Q25,102.5,-148.65,0.0,top
Q26,119.5,-128.0,0.0,top
Q27,119.5,-133.65,0.0,top
Q28,145.7532,-123.0,0.0,top
Q29,153.5064,-123.0,0.0,top
Q30,130.2404,-143.9,0.0,top
Q32,102.5,-143.65,0.0,top
Q33,119.5,-144.95,0.0,top
Q34,119.5,-150.6,0.0,top
Q35,137.9936,-143.9,0.0,top
Q36,145.7468,-143.9,0.0,top
Q37,153.5,-143.9,0.0,top
R1,148.0,-48.25,90.0,top
R10,109.0875,-45.75,0.0,bottom
R100,94.2875,-142.42,0.0,top
R101,112.0,-147.25,270.0,top
R102,112.0,-152.75,270.0,top
R103,110.5,-146.725,270.0,top
R104,134.8,-161.8,180.0,top
R105,128.275,-154.5,180.0,top
R106,130.875,-164.7,180.0,top
R107,154.6,-161.4,0.0,top
R108,154.775,-137.3,0.0,top
R109,134.875,-164.6,180.0,top
R11,109.0875,-43.75,0.0,bottom
R12,160.3,-49.2,0.0,top
R13,154.0,-47.0875,90.0,top
R14,97.0,-30.9,0.0,top
R15,129.8,-31.9,90.0,top
R16,147.4,-26.2,0.0,top
R17,136.0,-60.0,270.0,top
R18,136.0,-57.0,90.0,top
R19,136.0,-54.0,90.0,top
R2,154.0,-72.0,180.0,top
R20,136.0,-51.0,90.0,top
R28,151.0875,-45.0,0.0,top
R29,154.3,-34.0125,180.0,bottom
R3,154.075,-59.0,0.0,top
R31,94.2875,-137.17,0.0,top
R4,151.9,-77.6,0.0,top
R43,111.3,-142.1,270.0,top
R48,112.0,-124.5,270.0,top
R49,111.3,-139.025,270.0,top
R5,140.0,-71.0,180.0,top
R50,135.5,-111.75,90.0,top
R51,132.75,-111.75,270.0,top
R52,143.25,-111.75,270.0,top
R53,140.25,-111.75,90.0,top
R54,141.0,-109.25,0.0,top
R55,147.0,-133.0,0.0,top
R6,127.0,-73.0,0.0,top
R64,94.2875,-151.92,0.0,top
R65,111.75,-113.325,270.0,top
R66,111.75,-119.0,270.0,top
R67,109.425,-157.25,0.0,top
R68,128.75,-130.25,180.0,top
R69,127.25,-112.5,0.0,bottom
R7,97.0875,-41.0,180.0,top
R70,127.25,-118.0,0.0,bottom
R71,154.5,-109.75,0.0,top
R72,139.3,-116.2,0.0,top
R73,146.1,-112.6,180.0,top
R8,113.3375,-30.5,0.0,bottom
R82,94.2875,-147.17,0.0,top
R83,112.0,-130.175,270.0,top
R84,111.3,-136.025,270.0,top
R85,147.0,-116.2,0.0,top
R86,134.975,-154.5,180.0,top
R87,131.975,-154.5,180.0,top
R88,128.775,-134.9,180.0,top
R89,152.675,-152.3,180.0,top
R9,114.25,-32.5,0.0,bottom
R90,131.525,-137.3,0.0,top
R91,134.975,-157.1,180.0,top
RFM95W1,115.025,-171.5,0.0,top
U1,144.45,-49.5,90.0,top
U4,157.5,-43.5,180.0,top
W25Flash1,133.495,-72.095,0.0,top
